matchId,season,venue,batting_team,bowling_team,batsman,total_runs_off_bat,is_boundary,is_dotball,balls_faced,strike_rate,dot_ball_pct,effective_runs,winner,player_of_match,toss_winner,toss_decision,effective_runs_scaled,forecasted_runs,form_status
335982,2007/08,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,158,23,23,77,205.19,29.87,164.9,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.8862433862433862,,N/A
335982,2007/08,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,DJ Hussey,12,1,4,12,100.0,33.33,11.7,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.07566137566137565,,N/A
335982,2007/08,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Mohammad Hafeez,5,1,1,3,166.67,33.33,5.3,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.041798941798941794,,N/A
335982,2007/08,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,RT Ponting,20,2,9,20,100.0,45.0,19.2,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.11534391534391533,,N/A
335982,2007/08,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,10,2,8,12,83.33,66.67,9.4,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.06349206349206349,,N/A
335982,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,AA Noffke,9,1,6,12,75.0,50.0,8.3,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.05767195767195767,19.037206649780273,✅ Stable
335982,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,B Akhil,0,0,2,2,0.0,100.0,-0.4,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.01164021164021164,18.99024772644043,✅ Stable
335982,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,CL White,6,0,5,10,60.0,50.0,5.0,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.04021164021164021,18.996421813964844,✅ Stable
335982,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,JH Kallis,8,1,4,7,114.29,57.14,7.7,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.054497354497354496,18.86309051513672,✅ Stable
335982,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,MV Boucher,7,1,8,11,63.64,72.73,5.9,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.04497354497354497,18.840015411376953,✅ Stable
335982,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,P Kumar,18,3,12,17,105.88,70.59,17.1,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.10423280423280423,18.891504287719727,✅ Stable
335982,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,R Dravid,2,0,1,3,66.67,33.33,1.8,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.02328042328042328,18.84728240966797,✅ Stable
335982,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,SB Joshi,3,0,5,8,37.5,62.5,2.0,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.02433862433862434,19.009170532226562,✅ Stable
335982,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,V Kohli,1,0,4,5,20.0,80.0,0.2,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.014814814814814815,18.952098846435547,✅ Stable
335982,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,6,0,13,18,33.33,72.22,3.4,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.031746031746031744,18.884849548339844,✅ Stable
335982,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Z Khan,3,0,5,8,37.5,62.5,2.0,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,0.02433862433862434,18.82102394104004,✅ Stable
335983,2007/08,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,JDP Oram,13,1,4,11,118.18,36.36,12.7,Chennai Super Kings,MEK Hussey,Chennai Super Kings,bat,0.08095238095238094,18.852298736572266,✅ Stable
335983,2007/08,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MEK Hussey,116,17,13,54,214.81,24.07,121.9,Chennai Super Kings,MEK Hussey,Chennai Super Kings,bat,0.6587301587301587,18.80316162109375,✅ Stable
335983,2007/08,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,ML Hayden,25,5,9,17,147.06,52.94,25.7,Chennai Super Kings,MEK Hussey,Chennai Super Kings,bat,0.14973544973544972,18.237152099609375,⚠️ Low Form
335983,2007/08,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MS Dhoni,2,0,1,3,66.67,33.33,1.8,Chennai Super Kings,MEK Hussey,Chennai Super Kings,bat,0.02328042328042328,19.257722854614258,🔥 High Form
335983,2007/08,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,PA Patel,15,3,6,11,136.36,54.55,15.3,Chennai Super Kings,MEK Hussey,Chennai Super Kings,bat,0.09470899470899471,19.713171005249023,🔥 High Form
335983,2007/08,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,S Badrinath,31,5,2,14,221.43,14.29,33.1,Chennai Super Kings,MEK Hussey,Chennai Super Kings,bat,0.18888888888888888,19.21698760986328,✅ Stable
